Year,Area,Street,Street 2,Strange HTML
2011,," Outsideí«theí«Travellersí«Rest,í«Greatí«Bridgeí«Road,í«Moxley"," Outside the Travellers Rest, Great Bridge Road, Moxley",
2011,,parkí«stí«walsall,park st walsall,
2011,,Parkí«Streetí«Walsall,Park Street Walsall,
2011,," Peelí«Close,í«Willenhall"," Peel Close, Willenhall",
2011,," Pelsallí«Lane,í«Pelsall"," Pelsall Lane, Pelsall",
2011,,Pinfoldí«street,Pinfold street,
2011,,Platformí«1í«Wolverhamptoní«Railwayí«Station,Platform 1 Wolverhampton Railway Station,
2011,,Pleckí«Rd,Pleck Rd,
2011,,princeí«streetí«pleck,prince street pleck,
2011,,princessí«sq,princess sq,
2011,," Queslettí«Rd,í«Streetly"," Queslett Rd, Streetly",
2011,,Queslettí«road,Queslett road,
2011,,raleighí«stí«walsall,raleigh st walsall,
2011,," Raleighí«Street,í«Walsall"," Raleigh Street, Walsall",
2011,,rochesterí«close,rochester close,
2011,," Rosehill,í«Willenhall"," Rosehill, Willenhall",
2011,,Royalí«Oakí«Greení«Lane,Royal Oak Green Lane,
2011,,rushallí«hallí«hospital,rushall hall hospital,
2011,," Sadlerí«Centre,í«Walsall"," Sadler Centre, Walsall",
2011,,smethwickí«police,smethwick police,
2011,,Smithí«Houseí«Stoneyí«laneí«bloxwich,Smith House Stoney lane bloxwich,
2011,,Southí«Paradeí«Suttoní«Coldfield,South Parade Sutton Coldfield,
2011,,Southí«Paradeí«Suttoní«Coldfield,South Parade Sutton Coldfield,
2011,,spottedí«cowí«ph,spotted cow ph,
2011,,Stí«michaelsí«streetí«westí«Brom,St michaels street west Brom,
2011,,Stí«Paulsí«Busí«Station,St Pauls Bus Station,
2011,,stí«paulsí«busí«stationí«walsall,st pauls bus station walsall,
2011,,Stí«paul'sí«Street,St paul's Street,
2011,," Stí«Pauls,í«Brookeí«Stí«Arcadeí«Walsall"," St Pauls, Brooke St Arcade Walsall",
2011,,Stí«Stephensí«Court,St Stephens Court,
2011,,staffordí«st,stafford st,
2011,,Staffordí«St,Stafford St,
2011,,Staffordí«street,Stafford street,
2011,," Stanleyí«Street,í«Bloxwich"," Stanley Street, Bloxwich",
2011,,stephensoní«avenue,stephenson avenue,
2011,,Stevensoní«Sqí«Walsall,Stevenson Sq Walsall,
2011,,stoneyí«lane,stoney lane,
2011,,stoneyí«lane,stoney lane,
2011,,Stoneyí«Laneí«Walsall,Stoney Lane Walsall,
2011,,tameí«street,tame street,
2011,,Tannersí«Courtí«Glebeí«Streetí«Caldmoreí«Walsall,Tanners Court Glebe Street Caldmore Walsall,
2011,,telfordí«road,telford road,
2011,," TESCO,í«Littletoní«Street,í«Walsall"," TESCO, Littleton Street, Walsall",
2011,,Theí«Bridgeí«Towní«Centreí«Walsall,The Bridge Town Centre Walsall,
2011,,Theí«Bridgeí«Walsall,The Bridge Walsall,
2011,," Theí«Bridge,í«Walsall"," The Bridge, Walsall",
2011,,theí«greení«darlaston,the green darlaston,
2011,,Thomasí«Houseí«Bloxwichí«Stoneyí«Lane,Thomas House Bloxwich Stoney Lane,
2011,," Varsistyí«,í«Leicesterí«stí«walsall"," Varsisty , Leicester st walsall",
2011,," Victoriaí«Avenue,í«Bloxwich."," Victoria Avenue, Bloxwich.",
2011,,Villageí«hotel,Village hotel,
2011,," villageí«hotel,í«walsall"," village hotel, walsall",
2011,,Walhouseí«Rd,Walhouse Rd,
2011,,walkerí«road,walker road,
2011,,Walsallí«Busí«Station,Walsall Bus Station,
2011,," Walsallí«Busí«Station,í«Stí«Pauls."," Walsall Bus Station, St Pauls.",
2011,,walsallí«manorí«hospital,walsall manor hospital,
2011,,Walsallí«Manorí«Hospital,Walsall Manor Hospital,
2011,,Walsallí«Manorí«Hospital,Walsall Manor Hospital,
2011,,walsallí«policeí«station,walsall police station,
2011,,Walsallí«Policeí«Station,Walsall Police Station,
2011,,Walsallí«Policeí«Station,Walsall Police Station,
2011,,WALSALLí«POLICEí«STATION,WALSALL POLICE STATION,
2011,,walsallí«road,walsall road,
2011,,Walsallí«roadí«darlaston,Walsall road darlaston,
2011,,Walsallí«trainí«station,Walsall train station,
2011,,Wanderersí«Way,Wanderers Way,
2011,,wednesburyí«rd,wednesbury rd,
2011,,WEDNESBURYí«RDí«WALSALL,WEDNESBURY RD WALSALL,
2011,,Wednesburyí«Road,Wednesbury Road,
2011,," Westí«Bromwichí«Rd,í«Walsall"," West Bromwich Rd, Walsall",
2011,," Westí«Bromwichí«Rd,í«Walsall"," West Bromwich Rd, Walsall",
2011,,Wolverhamptoní«Roadí«Oldbury,Wolverhampton Road Oldbury,
2011,,Wolverhamptoní«Roadí«oldbury,Wolverhampton Road oldbury,
2011,,wolverhamptoní«roadí«west,wolverhampton road west,
2011,,Wolverhamptoní«Wandersí«FC,Wolverhampton Wanders FC,
2011,,woodí«endí«roadí«wednesfield,wood end road wednesfield,
2011,,Woodení«Roadí«westí«Darlaston,Wooden Road west Darlaston,
2011,,Ws1í«Walsall,Ws1 Walsall,
2011,Wolverhampton,Aí«andí«Eí«Newí«Crossí«Hospital,A and E New Cross Hospital,
2011,,Alfredí«Squireí«Road,Alfred Squire Road,
2011,,Arthurí«Stí«Wolverhampton,Arthur St Wolverhampton,
2011,,asdaí«storesí«wŒŠí_Œton,asda stores wŒŠí_Œton,
2011,,asdaí«storesí«wŒŠí_Œton,asda stores wŒŠí_Œton,
2011,," Badgerí«Drive,í«Parkí«Village"," Badger Drive, Park Village",
2011,,Bellamyí«Lane,Bellamy Lane,
2011,,Belmontí«Road,Belmont Road,
2011,,Belmontí«Road,Belmont Road,
2011,," Belmontí«Road,í«Penn,í«WŒŠí_Œton"," Belmont Road, Penn, WŒŠí_Œton",
2011,,Berryí«Street,Berry Street,
2011,,Bilstoní«Busí«station,Bilston Bus station,
2011,,Bilstoní«Labourí«Club,Bilston Labour Club,
2011,,Bilstoní«Road,Bilston Road,
2011,,Bilstoní«Road,Bilston Road,
2011,,Bilstoní«st,Bilston st,
2011,,Bilstoní«St,Bilston St,
2011,,Bilstoní«St,Bilston St,
2011,,Bilstoní«Stí«Wolverhampton,Bilston St Wolverhampton,
2011,," Bilstoní«St,í«Wolverhampton"," Bilston St, Wolverhampton",
2011,,Bilstoní«Street,Bilston Street,
2011,,Bilstoní«Street,Bilston Street,
2011,,Bilstoní«Street,Bilston Street,
2011,,Bilstoní«Street,Bilston Street,
2011,,Bilstoní«Street,Bilston Street,
2011,,Bilstoní«street,Bilston street,
2011,,Bilstoní«Street,Bilston Street,
2011,,Bilstoní«street,Bilston street,
2011,,Bilstoní«Street,Bilston Street,
2011,,Bilstoní«Street,Bilston Street,
2011,,Blackhalveí«Lane,Blackhalve Lane,
2011,,bradfordí«street.í«walsalll,bradford street. walsalll,
2011,,Brantleyí«Ave,Brantley Ave,
2011,,Brantleyí«Avenue,Brantley Avenue,
2011,,Broadí«Stí«Wolverhampton,Broad St Wolverhampton,
2011,," broadí«St,í«wolverhampton"," broad St, wolverhampton",
2011,," Broadí«St,í«Wolves."," Broad St, Wolves.",
2011,," Broadí«St,í«Wolves."," Broad St, Wolves.",
2011,,Broadí«Street,Broad Street,
2011,,Broadí«street,Broad street,
2011,," Broadí«Street,í«wolverhampton"," Broad Street, wolverhampton",
2011,," Broadí«Street,í«Wolverhampton"," Broad Street, Wolverhampton",
2011,," Broadí«Street,í«W'ton."," Broad Street, W'ton.",
2011,,Bronwyní«Close,Bronwyn Close,
2011,," Burlesdoní«Walk,í«Wolves."," Burlesdon Walk, Wolves.",
2011,,Busí«Station,Bus Station,
2011,,busí«stationí«pipersí«road,bus station pipers road,
2011,," Busí«Station,í«Wolverhampton"," Bus Station, Wolverhampton",
2011,," Busí«Station,í«Wolverhampton"," Bus Station, Wolverhampton",
2011,," Campioní«House,í«Heathí«Town,í«Wolverhampton"," Campion House, Heath Town, Wolverhampton",
2011,,Cannockí«Rdí«Wolverhampton,Cannock Rd Wolverhampton,
2011,," Carí«park,í«Newí«Crossí«Hospital,í«Wolverhampton"," Car park, New Cross Hospital, Wolverhampton",
2011,,castleí«streetí«cityí«centre,castle street city centre,
2011,,castleí«streetí«wolverhampton,castle street wolverhampton,
2011,," Churchí«Street,í«Bilston"," Church Street, Bilston",
2011,," Coalwayí«Road,í«Wton"," Coalway Road, Wton",
2011,,Codsallí«Road,Codsall Road,
2011,," CoŒŠí_Œop,í«Highí«Street,í«Wednesfield,í«Wton"," CoŒŠí_Œop, High Street, Wednesfield, Wton",
2011,,daltoní«stí«wolverhampton,dalton st wolverhampton,
2011,,Darlingtoní«St,Darlington St,
2011,,Darlingtoní«st,Darlington st,
2011,,Dudleyí«Road,Dudley Road,
2011,," Dudleyí«Road,í«Kingswinford"," Dudley Road, Kingswinford",
2011,,dudleyí«street,dudley street,
2011,," Dudleyí«Street,í«Wolverhampton"," Dudley Street, Wolverhampton",
2011,,Dunstallí«Road,Dunstall Road,
2011,," Dunstallí«Road,í«Wolverhampton"," Dunstall Road, Wolverhampton",
2011,," Edhamí«Road,í«Wolverhampton"," Edham Road, Wolverhampton",
2011,,Exchangeí«Street,Exchange Street,
2011,," Exchangeí«Street,í«Cityí«Centre,í«Wolverhampton"," Exchange Street, City Centre, Wolverhampton",
2011,,Farndaleí«Avenue,Farndale Avenue,
2011,,Fileyí«rdí«í«wolverhampton,Filey rd  wolverhampton,
2011,,Frontí«Office,Front Office,
2011,,frontí«office,front office,
2011,," Frontí«Office,í«Wolverhamptoní«Centralí«PS"," Front Office, Wolverhampton Central PS",
2011,,Frontí«Offiveí«Bilstoní«Streetí«Polí«Stn,Front Offive Bilston Street Pol Stn,
2011,,Fursí«Publicí«House,Furs Public House,
2011,,GAFO,GAFO,
2011,,Garrickí«street,Garrick street,
2011,," Garrickí«Street,í«wolverhampton"," Garrick Street, wolverhampton",
2011,,Greatí«Hamptoní«Street,Great Hampton Street,
2011,,Greatí«Hamptoní«Street,Great Hampton Street,
2011,,Greenparkí«Avenue,Greenpark Avenue,
2011,," Hadení«Hill,í«Chapelí«Ash,í«Wolverhampton"," Haden Hill, Chapel Ash, Wolverhampton",
2011,," Hartí«Road,í«Wednesfield,Wton"," Hart Road, Wednesfield,Wton",
2011,,Highí«Stí«Bilston,High St Bilston,
2011,," Indií«Bar,í«Lichfieldí«Street"," Indi Bar, Lichfield Street",
2011,,Jackí«haywardí«Way,Jack hayward Way,
2011,,Junctioní«10í«o/sí«Villageí«Hotel,Junction 10 o/s Village Hotel,
2011,," Laurelí«Road,í«Dudley"," Laurel Road, Dudley",
2011,,Leacroftí«Avenue,Leacroft Avenue,
2011,,Leacroftí«Avenue,Leacroft Avenue,
2011,," Lennoxí«Gardens,í«Wton"," Lennox Gardens, Wton",
2011,,lewishamí«rdí«wolverhampton,lewisham rd wolverhampton,
2011,,Lichfiedlí«Street,Lichfiedl Street,
2011,,lichfieldí«st,lichfield st,
2011,," lichfieldí«st,í«cityí«centre,í«wolves"," lichfield st, city centre, wolves",
2011,," lichfieldí«st,í«wolverhampton"," lichfield st, wolverhampton",
2011,," Lichfieldí«St,í«Wton"," Lichfield St, Wton",
2011,,Lichfieldí«Street,Lichfield Street,
2011,,Lichfieldí«Street,Lichfield Street,
2011,,Lichfieldí«Street,Lichfield Street,
2011,,Lichfieldí«Street,Lichfield Street,
2011,,Lichfieldí«Street,Lichfield Street,
2011,,Lichfieldí«Street,Lichfield Street,
2011,,Lichfieldí«Street,Lichfield Street,
2011,," Lichfieldí«Streetí«@Princessí«Street,í«wŒŠí_Œton"," Lichfield Street @Princess Street, wŒŠí_Œton",
2011,," Lichfieldí«Street,í«Cityí«Centre,í«WŒŠí_Œton"," Lichfield Street, City Centre, WŒŠí_Œton",
2011,," Lichfieldí«Street,í«Cityí«Centre,í«WŒŠí_Œton"," Lichfield Street, City Centre, WŒŠí_Œton",
2011,," Lichfieldí«Street,í«Wolverhampton."," Lichfield Street, Wolverhampton.",
2011,," Lichfieldí«Street,í«W'ton."," Lichfield Street, W'ton.",
2011,,lowerí«villiersí«Street,lower villiers Street,
2011,,Luntí«Road,Lunt Road,
2011,,Marketí«Stí«wolverhampton,Market St wolverhampton,
2011,," Marketí«st,í«Wolverhampton"," Market st, Wolverhampton",
2011,," Marketí«St,í«Wolves."," Market St, Wolves.",
2011,," Marketí«St,í«Wton"," Market St, Wton",
2011,,Marketí«Street,Market Street,
2011,,Marketí«Street,Market Street,
2011,,Marketí«Street,Market Street,
2011,,marketí«Street,market Street,
2011,,Marketí«Street,Market Street,
2011,,Marketí«Street,Market Street,
2011,," Marketí«Street,í«Cityí«Centre,í«WŒŠí_Œton"," Market Street, City Centre, WŒŠí_Œton",
2011,," Marketí«Street,í«Wolverhampton"," Market Street, Wolverhampton",
2011,," marketí«street,í«wolverhampton"," market street, wolverhampton",
2011,," Marketí«Street,í«Wolverhampton"," Market Street, Wolverhampton",
2011,," Marketí«Street,í«wolverhampton"," Market Street, wolverhampton",
2011,," Marketí«Street,í«Wolverhampton"," Market Street, Wolverhampton",
2011,," Marketí«Street,í«Wolverhampton."," Market Street, Wolverhampton.",
2011,," Marketí«Street,í«Wolves"," Market Street, Wolves",
2011,," Marketí«Street,í«Wolves."," Market Street, Wolves.",
2011,,marsatoní«road,marsaton road,
2011,,marstoní«Rdí«wolverhampton,marston Rd wolverhampton,
2011,," Millcroft,í«wolves."," Millcroft, wolves.",
2011,,Moseleyí«í«RDí«Wolverhampton,Moseley  RD Wolverhampton,
2011,," Moseleyí«Road,í«Bilston."," Moseley Road, Bilston.",
2011,,Mountí«Pleasant,Mount Pleasant,
2011,," Mountí«Plesant,í«Bilston"," Mount Plesant, Bilston",
2011,," nearí«yatesí«wineí«bar,í«Wolvesí«cityí«centre."," near yates wine bar, Wolves city centre.",
2011,,newí«|crossí«Hospital,new |cross Hospital,
2011,,Newí«Crossí«Hospital,New Cross Hospital,
2011,,Newí«crossí«Hospital,New cross Hospital,
2011,,newí«Crossí«Hospital,new Cross Hospital,
2011,,Newí«Crossí«Hospital,New Cross Hospital,
2011,," Newí«Crossí«hospital,í«wolverhampton"," New Cross hospital, wolverhampton",
2011,," Newí«Crossí«Hospital,í«Wolverhampton"," New Cross Hospital, Wolverhampton",
2011,,Newí«Xí«Hospital,New X Hospital,
2011,," Newí«Xí«Hospital,í«WŒŠí_Œton"," New X Hospital, WŒŠí_Œton",
2011,,newcrossí«Hospital,newcross Hospital,
2011,," Norfoldí«Road,í«Pewnnfields,í«WŒŠí_Œton"," Norfold Road, Pewnnfields, WŒŠí_Œton",
2011,,Northí«Street,North Street,
2011,,Northí«Street,North Street,
2011,,Northí«Street,North Street,
2011,,Northí«Street,North Street,
2011,,Northí«Street,North Street,
2011,,Northí«Streetí«Towní«Centreí«Wolverhampton,North Street Town Centre Wolverhampton,
2011,," Northwoodí«Parkí«Road,í«Wolves."," Northwood Park Road, Wolves.",
2011,,O/sí«Grapesí«PHí«í«Moseleyí«Road,O/s Grapes PH  Moseley Road,
2011,,O/sí«Oceanaí«Bilstoní«streetí«.,O/s Oceana Bilston street .,
2011,," Oustideí«Yates,í«Wolverhampton"," Oustide Yates, Wolverhampton",
2011,,outsdieí«yates'í«wineí«barí«wolverhampton,outsdie yates' wine bar wolverhampton,
2011,," Outsideí«Subwayí«Sandwichí«Shop,í«Queensí«Square,í«Wolverhampton"," Outside Subway Sandwich Shop, Queens Square, Wolverhampton",
2011,,Outsideí«theí«í«Avondale,Outside the  Avondale,
2011,,Outsideí«theí«Indieí«Barí«í«.,Outside the Indie Bar  .,
2011,," Outsideí«Yates,í«Northí«Street,í«Wolverhampton"," Outside Yates, North Street, Wolverhampton",
2011,,Owení«Road,Owen Road,
2011,,Parkfieldí«Rd,Parkfield Rd,
2011,,Penní«Road,Penn Road,
2011,," Penní«Road,í«Wolves"," Penn Road, Wolves",
2011,,Pipersí«Rowí«Wolverhampton,Pipers Row Wolverhampton,
2011,," Pipersí«Row,í«Wolverhampton"," Pipers Row, Wolverhampton",
2011,," Pipersí«Row,í«W'ton."," Pipers Row, W'ton.",
2011,," Powellí«St,í«woolverhampton"," Powell St, woolverhampton",
2011,,Prestwoodí«Road,Prestwood Road,
2011,,Pricessí«Street,Pricess Street,
2011,,Pricessí«Street,Pricess Street,
2011,," Princeí«Charlesí«Pub,Bushbury"," Prince Charles Pub,Bushbury",
2011,," Princessí«St,í«Wton"," Princess St, Wton",
2011,,princessí«street,princess street,
2011,,princessí«street,princess street,
2011,,Princessí«Street,Princess Street,
2011,,Princessí«Street,Princess Street,
2011,,Princessí«Street,Princess Street,
2011,," Princessí«Street,Walsall"," Princess Street,Walsall",
2011,,prinesí«St,prines St,
2011,," Probertí«Road,í«Wton"," Probert Road, Wton",
2011,," Prosserí«St,í«Wolves"," Prosser St, Wolves",
2011,,Prosserí«Street,Prosser Street,
2011,,Prowellí«St,Prowell St,
2011,," Queení«Sq,í«Wton"," Queen Sq, Wton",
2011,,Queení«Square,Queen Square,
2011,,queení«square,queen square,
2011,,Queení«Square,Queen Square,
2011,," Queení«Square,í«Wolverhampton"," Queen Square, Wolverhampton",
2011,," Queení«Square,í«Wolverhampton"," Queen Square, Wolverhampton",
2011,," Queení«Square,í«Wton"," Queen Square, Wton",
2011,," Queení«Squsre,í«Cityí«Centre,í«Wolverhampton"," Queen Squsre, City Centre, Wolverhampton",
2011,,Queení«St,Queen St,
2011,,Queení«St,Queen St,
2011,,Queení«Stí«Wolverhampton,Queen St Wolverhampton,
2011,,Queení«Stí«Wolverhampton,Queen St Wolverhampton,
2011,,Queení«Stí«Wolverhampton,Queen St Wolverhampton,
2011,,Queení«St/Marketí«Stí«Wolverhampton,Queen St/Market St Wolverhampton,
2011,,Queení«St/Marketí«Streetí«í«junction,Queen St/Market Street  junction,
2011,,Queení«Street,Queen Street,
2011,,Queení«Street,Queen Street,
2011,,Queení«Street,Queen Street,
2011,,Queení«Street,Queen Street,
2011,,Queení«Street,Queen Street,
2011,," Queení«Street,í«wolverhampton"," Queen Street, wolverhampton",
2011,," Queení«Street,í«Wolverhampton"," Queen Street, Wolverhampton",
2011,," Queení«Street,í«Wolverhampton"," Queen Street, Wolverhampton",
2011,," Queení«Street,í«wŒŠí_Œton"," Queen Street, wŒŠí_Œton",
2011,," Queensí«Square,í«Wolverhampton"," Queens Square, Wolverhampton",
2011,," QUEENSí«SQUARE,í«WOLVERHAMPTON"," QUEENS SQUARE, WOLVERHAMPTON",
2011,,Queensí«Street,Queens Street,
2011,,Rearí«ofí«Civicí«Centreí«Wolverhampton,Rear of Civic Centre Wolverhampton,
2011,,Ringí«Road,Ring Road,
2011,," Ringí«Roadí«Stí«Georges,í«Wolves."," Ring Road St Georges, Wolves.",
2011,," Royalí«Londoní«P/H,Wolvesí«Cityí«centre."," Royal London P/H,Wolves City centre.",
2011,,Sainsburysí«Stí«Georges,Sainsburys St Georges,
2011,," Salopí«st,í«wolverhampton"," Salop st, wolverhampton",
2011,," Salopí«St,í«Wolves."," Salop St, Wolves.",
2011,," Schoolí«St,í«Wton"," School St, Wton",
2011,,Schoolí«Street,School Street,
2011,,Schoolí«Street,School Street,
2011,," Schoolí«Street,í«wŒŠí_Œton"," School Street, wŒŠí_Œton",
2011,," Schoolí«Street,í«W'ton."," School Street, W'ton.",
2011,,Showellí«Circus,Showell Circus,
2011,," stí«Georgesí«parade,í«wolverhampton"," st Georges parade, wolverhampton",
2011,," Stí«Georgesí«Parade,í«Wolverhampton"," St Georges Parade, Wolverhampton",
2011,," staffordí«road,í«wolverhampton"," stafford road, wolverhampton",
2011,,Staffordí«St,Stafford St,
2011,," Staffordí«St,í«Wton"," Stafford St, Wton",
2011,,Staffordí«Street,Stafford Street,
2011,,Staffordí«Street,Stafford Street,
2011,," Staffordí«Street,í«Wolverhampton."," Stafford Street, Wolverhampton.",
2011,," Steelí«Parkí«Lane,í«Wton"," Steel Park Lane, Wton",
2011,,Subwayí«underí«trafficí«islandí«atí«junctioní«ofí«Ringí«Roadí«andí«Bilstoní«Street,Subway under traffic island at junction of Ring Road and Bilston Street,
2011,," Sweetmaní«Street,í«Wton"," Sweetman Street, Wton",
2011,,Templeí«St,Temple St,
2011,,Tettenhallí«Road,Tettenhall Road,
2011,,tettenhallí«Road,tettenhall Road,
2011,," Theí«Varsity,í«Cityí«Centre"," The Varsity, City Centre",
2011,,Thornleyí«Street,Thornley Street,
2011,,Towerí«Street,Tower Street,
2011,," Trainí«Station,í«Wolverhampton"," Train Station, Wolverhampton",
2011,,Trysullí«Road,Trysull Road,
2011,," Vicarageí«Road,í«Wton"," Vicarage Road, Wton",
2011,,Victoriaí«Road,Victoria Road,
2011,," Victoriaí«Road,í«Wfield,í«Wton"," Victoria Road, Wfield, Wton",
2011,," VIctoriaí«Road,í«Wfield,Wton"," VIctoria Road, Wfield,Wton",
2011,,victoriaí«st,victoria st,
2011,,Victoriaí«Street,Victoria Street,
2011,,Victoriaí«Street,Victoria Street,
2011,," Victoriaí«Street,í«Wolverhampton"," Victoria Street, Wolverhampton",
2011,," Victoriaí«Street,í«Wolverhampton"," Victoria Street, Wolverhampton",
2011,," Victoriaí«Street,í«WŒŠí_Œton"," Victoria Street, WŒŠí_Œton",
2011,," Villiersí«Avenue,í«Wolverhampton"," Villiers Avenue, Wolverhampton",
2011,,Wallaceí«Rd,Wallace Rd,
2011,," Wallaceí«Road,í«Bradley"," Wallace Road, Bradley",
2011,," Walsallí«St,í«Bilston."," Walsall St, Bilston.",
2011,," Wanderersí«Avenue,í«Blakenhall"," Wanderers Avenue, Blakenhall",
2011,," Wanderersí«Avenue,í«Wton"," Wanderers Avenue, Wton",
2011,," Warnfordí«Walk,í«Merryí«Hill,í«wŒŠí_Œton"," Warnford Walk, Merry Hill, wŒŠí_Œton",
2011,,warstonesí«drive,warstones drive,
2011,,waterlooí«Rd,waterloo Rd,
2011,,Waterlooí«Rdí«Wolverhampton,Waterloo Rd Wolverhampton,
2011,," Wednesfieldí«Highí«Street,í«Wolves."," Wednesfield High Street, Wolves.",
2011,,Wellingtoní«Road,Wellington Road,
2011,," Whiteí«Oaksí«Street,í«Wton"," White Oaks Street, Wton",
2011,,whitegatesí«driveí«coseley,whitegates drive coseley,
2011,," Willenhallí«Road,í«Eastí«Park,í«Wolverhampton"," Willenhall Road, East Park, Wolverhampton",
2011,," Willenhallí«Road,í«Jtní«Deansí«Road,í«Wton"," Willenhall Road, Jtn Deans Road, Wton",
2011,,Williamí«Hillí«Marketí«Street,William Hill Market Street,
2011,,Wolverhamptní«Trainí«Station,Wolverhamptn Train Station,
2011,,Wolverhamptoní«í«trainí«station,Wolverhampton  train station,
2011,,Wolverhamptoní«Railwayí«Station,Wolverhampton Railway Station,
2011,,Wolverhamptoní«Railwayí«Station,Wolverhampton Railway Station,
2011,,Wolverhamptoní«Railwayí«Station,Wolverhampton Railway Station,
2011,,wolverhamptoní«roadí«wednesfield,wolverhampton road wednesfield,
2011,," Wolverhamptoní«Road,í«Wednesfield,í«Wton"," Wolverhampton Road, Wednesfield, Wton",
2011,,wolverhamptoní«trainí«station,wolverhampton train station,
2011,,wolvesí«railwayí«station,wolves railway station,
2011,," Woodí«Endí«Road,í«Wednesfield"," Wood End Road, Wednesfield",
2011,," Woodlandí«Avenue,í«Tettenhallí«Wood"," Woodland Avenue, Tettenhall Wood",
2011,,Woolpackí«Alley,Woolpack Alley,
2011,,Wordsworthí«Avenue,Wordsworth Avenue,
2011,,Wtoní«Trainí«Station,Wton Train Station,
2011,,WVí«Frontí«office,WV Front office,
2011,,WVFO,WVFO,
2011,,WVFO,WVFO,
2012,Birmingham,Clemenceí«road,Clemence road,
2012,,Clemenceí«road,Clemence road,
2012,,Clemenceí«road,Clemence road,
2012,,Clemenceí«road,Clemence road,
2012,,Clemenceí«road,Clemence road,
2012,,acocksí«greení«policeí«station,acocks green police station,
2012,,Albertí«Road,Albert Road,
2012,,Alcesterí«Rdí«moseley,Alcester Rd moseley,
2012,,Alcesterí«Road,Alcester Road,
2012,,alcesterí«road,alcester road,
2012,,ALCESTERí«ROADí«MOSELEY,ALCESTER ROAD MOSELEY,
2012,,Alcesterí«Roadí«Moseley,Alcester Road Moseley,
2012,,Alcesterí«Roadí«Outsideí«Crossí«PH,Alcester Road Outside Cross PH,
2012,," Alcesterí«Road,í«Moseley."," Alcester Road, Moseley.",
2012,,Alecesterí«Road,Alecester Road,
2012,,Alumí«Rockí«Road,Alum Rock Road,
2012,,Alumí«Rockí«Road,Alum Rock Road,
2012,,Alumí«Rockí«Road,Alum Rock Road,
2012,," Alumí«Rockí«Road,í«Alumí«Rock"," Alum Rock Road, Alum Rock",
2012,," Banfordí«Road,í«Wardí«End"," Banford Road, Ward End",
2012,,BELCHERSí«LANE,BELCHERS LANE,
2012,,Belgraveí«Middleí«way,Belgrave Middle way,
2012,,Belgraviaí«Close,Belgravia Close,
2012,,BENNETTSí«HILLí«CITYí«CENTRE,BENNETTS HILL CITY CENTRE,
2012,,Berkelyí«Road,Berkely Road,
2012,," Birchleyí«Riseí«@í«Wagoní«Lane,í«Olton"," Birchley Rise @ Wagon Lane, Olton",
2012,,Birchtreeí«Drive,Birchtree Drive,
2012,,Birminghamí«Newí«Street,Birmingham New Street,
2012,," Birminghamí«Road,í«Castleí«Bromwich"," Birmingham Road, Castle Bromwich",
2012,," Birminghamí«Road,í«Suttoní«Coldfield"," Birmingham Road, Sutton Coldfield",
2012,,Bistolí«Roadí«Sellyí«Oak,Bistol Road Selly Oak,
2012,,Blakeí«Place.í«Bordesleyí«Green,Blake Place. Bordesley Green,
2012,,Bordesleyí«Green,Bordesley Green,
2012,,Bordesleyí«Greení«East,Bordesley Green East,
2012,," Bordesleyí«Greení«Road,í«Bordesleyí«Green"," Bordesley Green Road, Bordesley Green",
2012,,Bordesleyí«Green.,Bordesley Green.,
2012,," Bordeslyí«Green,í«Bordesleyí«Green"," Bordesly Green, Bordesley Green",
2012,," Boscombeí«Road,í«Tyseley,"," Boscombe Road, Tyseley,",
2012,,Bournvilleí«lane,Bournville lane,
2012,,bristolí«road,bristol road,
2012,,Bristolí«Roadí«South,Bristol Road South,
2012,,Broadí«Street,Broad Street,
2012,,Broadí«Street,Broad Street,
2012,,Broadí«Street,Broad Street,
2012,,Broadí«Street,Broad Street,
2012,,Brookhillí«Road,Brookhill Road,
2012,,Brooklandsí«Road,Brooklands Road,
2012,,brunswickí«road,brunswick road,
2012,," BULLSí«HEAD,í«MOSELY"," BULLS HEAD, MOSELY",
2012,,Caldwellí«Road,Caldwell Road,
2012,," Churchí«Road,í«Yardley"," Church Road, Yardley",
2012,," Churchí«Road,í«Yardley"," Church Road, Yardley",
2012,," Churchí«Road,í«Yewí«Tree"," Church Road, Yew Tree",
2012,,Clodeshallí«Road,Clodeshall Road,
2012,,Coleshillí«Road,Coleshill Road,
2012,,Cotterillsí«Lane,Cotterills Lane,
2012,,Coventryí«í«Road,Coventry  Road,
2012,," Coventryí«rdí«,í«Sheldoní«,í«Nrí«Britishí«legioní«Ivyí«Leaf."," Coventry rd , Sheldon , Nr British legion Ivy Leaf.",
2012,,Coventryí«Rd.,Coventry Rd.,
2012,,Coventryí«Road,Coventry Road,
2012,," Coventryí«Road,í«Smallí«Heath"," Coventry Road, Small Heath",
2012,,CranesParkí«Road,CranesPark Road,
2012,,Daleí«End,Dale End,
2012,," Drewsí«Lane,í«Wardí«End"," Drews Lane, Ward End",
2012,,Elizabethí«Road,Elizabeth Road,
2012,," Emilyí«Road,í«Acocksí«Green,í«Birmingham"," Emily Road, Acocks Green, Birmingham",
2012,," Flaxtoní«Grove,í«Kittsí«Green"," Flaxton Grove, Kitts Green",
2012,," Foxtoní«Road,í«Washwoodí«Heath"," Foxton Road, Washwood Heath",
